Date,Crop,Variety,"Location (Bed, Row)",Units,Yields (lbs),Ft Harvested,Food Distribution,Notes
8/19/22,cucumbers,Marketmore,4A,,65.65,40.0,Farm stand,
8/20/22,kale,Winterbor,1B,87,62.7,40.0,Farm stand,
8/20/22,collards,Flash,2D,60,62.2,40.0,Farm stand,
8/20/22,cabbage,Green,4D,10,38.6,40.0,Farm stand,
8/27/22,squash,Summer,"8D,8E",25,33.0,80.0,Farmstand,
8/27/22,okra,Mix,"7C,7D",,27.0,80.0,FarmStand,
8/27/22,collards,Flash,"2B,2C,2D",,55.0,120.0,Farmstand,
8/27/22,kale,Curly,"1A,1B",,30.0,80.0,Farmstand,
9/3/22,kale,Curly,1A,55,38.05,40.0,FarmStand,
9/3/22,collards,Flash,"2B,2C",50,36.0,80.0,FarmStand,
9/3/22,green cabbage,,4D,,,40.0,Farmstand,
9/3/22,squash,Summer,"8D,8E",,,80.0,Farmstand,
9/3/22,green peppers,,"3B,3C",,3.9,80.0,Farmstand,
9/14/22,tomatoes,,7E,1 bucket full,25.0,40.0,Farmstand ,
9/14/22,okra,,"3B, 3C",1 bucket full ,14.0,80.0,Farmstand ,
9/14/22,carrots,,8C,1 bunch,1.5,1.0,Farmstand ,
9/17/22,cabbage,Green,4D,,7.6,40.0,Farmstand,
9/17/22,collards,Flash,"2B,2C,2D,2E",,143.0,160.0,Farmstand,
9/17/22,okra,Mix,"7C,7D",,1.75,80.0,Farmstand,
9/17/22,green peppers,,"4C,4D",,9.1,80.0,Farmstand,
9/17/22,kale,Curly,"1A,1B",,9.6,80.0,Farmstand,
9/24/22,collards,Flash,"2B,2C,2D,2E",,230.0,160.0,Farmstand,
9/24/22,kale,Curly,"1A,1B",,75.0,80.0,Farmstand,
9/24/22,green peppers,,"3B,3C",,2.7,80.0,Farmstand,
9/24/22,okra,Mix,"7C,7D",,45.0,80.0,Farmstand,
10/8/22,green peppers,,"3B,3C",1 Bucket Full,5.55,40.0,Farmstand,
10/8/22,collards,Flash,"2B,2C,2D,2E",,233.45,160.0,Farmstand,
10/8/22,kale,Curly,"1A,1B",,23.45,80.0,Farmstand,
10/8/22,okra,Mix,"7C,7D",,2.15,80.0,Farmstand,
10/15/22,okra,Mix,"7C,7D",,30.0,80.0,Farmstand,
10/15/22,collards,Flash,"2B,2C,2D,2E",,250.0,160.0,Farmstand,
10/15/22,kale,Curly,"1A,1B",,126.4,80.0,Farmstand,
10/15/22,green peppers,,"3B,3C",,3.0,80.0,Farmstand ,
10/22/22,green pepeprs,,"3B,3C",,25.22,80.0,Farmstand,
10/22/22,kale,Curly,"1A,1B",,10.05,80.0,Farmstand,
10/22/22,collards,Flash,"2B,2C",,28.5,160.0,Farmstand,
10/22/22,radish,,"5C,5D",,15.4,40.0,Farmstand,
10/29/22,radish,,"5C,5D",,13.85,20.0,Farmstand,
10/29/22,turnips,,"6B,6C",,21.35,40.0,Farmstand,
10/29/22,kale,,"1A,1B",,15.5,40.0,Farmstand,
10/29/22,peppers,,"3B,3C",,10.28,40.0,Farmstand,
11/5/22,potatoes,Red,,,,,Farmstand,From Grow NYC
11/5/22,potatoes,Yukon,,,,,Farmstand,From Grow NYC
11/5/22,squash,Butternut ,,,,,Farmstand,From Grow NYC
11/5/22,collards,,,24,36.4,,Farmstand,
11/5/22,kale,,,,,,Farmstand,From Grow NYC
11/5/22,onions,Yellow,,,,,Farmstand,From Grow NYC
11/5/22,turnips,Hakurei,,,7.0,,Farmstand,
11/5/22,radish,Round ace ,"4A, 5D",25,22.0,30.0,Farmstand,
11/5/22,carrots,,,,,,Farmstand,From Grow NYC
12/3/22,collards,,2E,20,23.0,40.0,Farmstand,Last of the season
12/3/22,kale,,"1A,1B",40,37.0,80.0,Farmstand,Last of the season
