Date,Crop,Variety,"Location (Bed, Row)",Units,Yields (lbs),Ft Harvested,Food Distribution,Notes
7/2/22,beans,Bush,"Bed 2, Row A",,17.6,40,Farm Stand,
7/2/22,turnip,,"Bed 2, Row C",,30.3,40,Farm Stand,
7/2/22,spinach,Red Malabar,"Bed 2, Row E",,7.1,40,Farm Stand,
7/2/22,kale,Red Russian,"Bed 2, Row D",,9.3,40,Farm Stand,
7/2/22,zucchini,,"Bed 3, Row A",,8.6,40,Farm Stand,
7/2/22,collard greens,,"Bed 3, Row B",,10.1,40,Farm Stand,
7/2/22,chard,Rainbow,"Bed 3, Row C",,4.1,40,Farm Stand,
7/2/22,sage,,Demo Bed 2,,0.2,,Farm Stand,
7/2/22,lavender,,Demo Bed 2,,0.1,,Farm Stand,
7/2/22,lemon balm,,Demo Bed 2,,0.1,,Farm Stand,
7/2/22,spinach,,"Bed 1, Row E",,13.8,30,Farm Stand,
7/2/22,garlic,,"Bed 4, Row A",,40.0,40,Farm Stand,
7/9/22,mustard greens,,"Bed 1, Row B",,4.6,30,Farm Stand,
7/9/22,pac choi,,"Bed 1, Row D",,31.7,30,Farm Stand,
7/9/22,beans,,"Bed 2, Row A/ Bed 5 Row B/ Bed 5 Row C",,67.0,40,Farm Stand,
7/9/22,turnip,Hakurai,"Bed 2, Row C",,20.1,40,Farm Stand,
7/9/22,kale,Red Russian,"Bed 2, Row D",,11.0,40,Farm Stand,
7/9/22,spinach,Red Malabar,"Bed 2, Row E",,17.1,40,Farm Stand,
7/9/22,zucchini,,"Bed 3, Row A",,34.9,40,Farm Stand,
7/9/22,collard greens,,"Bed 3, Row B",,22.8,40,Farm Stand,
7/9/22,chard,Rainbow,"Bed 3, Row C",20,16.7,40,Farm Stand,
7/9/22,spinach,,"Bed 7, Row C",,1.3,40,Farm Stand,
7/9/22,kale,Winterbor,"Bed 7, Row A",,12.6,40,Farm Stand,
7/9/22,garlic,,"Bed 4, Row A",,30.2,40,Farm Stand,
7/16/22,mustard greens,,"Bed 1, Row B",7,5.3,30,Farm Stand,
7/16/22,pac choi,,"Bed 1, Row D/ Bed 7 Row B",,43.1,30,Farm Stand,
7/16/22,beans,Bush,"Bed 2, Row A",,39.7,40,Farm Stand,
7/16/22,turnips,Hakurai,"Bed 2, Row C",,19.9,40,Farm Stand,
7/16/22,kale,Red Russian,"Bed 2, Row D",,16.4,40,Farm Stand,
7/16/22,spinach,Red Malabar,"Bed 2, Row E",,9.3,40,Farm Stand,
7/16/22,zucchini,,"Bed 3, Row A",,45.1,40,Farm Stand,
7/16/22,collard greens,,"Bed 3, Row B",,49.3,40,Farm Stand,
7/16/22,chard,Rainbow,"Bed 3, Row C",,14.6,40,Farm Stand,
7/16/22,cucumbers,,"Bed 5, Row E",,4.3,40,Farm Stand,
7/16/22,garlic,,"Bed 4, Row A",,38.4,40,Farm Stand,
7/16/22,sage,,Demo Bed 2,,0.4,,Farm Stand,
7/16/22,lemon balm,,Demo Bed 2,,0.3,,Farm Stand,
7/23/22,mustards,,"Bed 1, Row B",,7.6,30,Farm Stand,
7/23/22,beans,Bush,"Bed 2, Row A",,11.6,40,Farm Stand,
7/23/22,turnips,Hakurai,"Bed 2, Row C",,20.6,40,Farm Stand,
7/23/22,kale,Red Russian,"Bed 2, Row D",,6.1,40,Farm Stand,
7/23/22,spinach,Red Malabar,"Bed 2, Row E",,21.4,40,Farm Stand,
7/23/22,zucchini,,"Bed 3, Row A",,67.1,40,Farm Stand,
7/23/22,collard greens,,"Bed 3, Row B",,49.3,40,Farm Stand,
7/23/22,chard,Rainbow,"Bed 3, Row C",,19.6,40,Farm Stand,
7/23/22,okra,,"Bed 3, Row E",,8.0,40,Farm Stand,
7/23/22,cucumbers,,"Bed 5, Row E",,29.7,40,Farm Stand,
7/23/22,kale,Winterbor,"Bed 7, Row A",,6.0,40,Farm Stand,
7/30/22,collard greens,,,,43.7,40,Farm Stand,
7/30/22,cabbage,,Bed 7 Row D,,36.4,40,Farm Stand,
7/30/22,chard,Rainbow,Bed 3 Row C,,18.4,40,Farm Stand,
7/30/22,zucchini,Green Machine,Bed 3 Row A,,16.7,40,Farm Stand,
7/30/22,cucumber,,Bed 5 Row E,,42.2,40,Farm Stand,
7/30/22,okra,,Bed 3 Row E,,2.0,40,Farm Stand,
7/30/22,beans,,Bed 2 Row A,,3.0,40,Farm Stand,
7/30/22,turnips,Hakurai,Bed 2 Row C,,21.7,40,Farm Stand,
7/30/22,kale,Red russian,Bed 2 Row D,,10.3,40,Farm Stand,
7/30/22,spinach,Red Malabar,Bed 2 Row E,,13.1,40,Farm Stand,
8/6/22,collard greens,Flash/ Top bunch,Bed 3 Row B/ Bed 8 Row A,,51.6,60 ft,Farm Stand,
8/6/22,cabbage,,Bed 7 Row D,,15.4,30 ft,Farm Stand,
8/6/22,turnips,Hakurai,Bed 2 Row C,,24.8,40 ft,Farm Stand,
8/6/22,zucchini,Green Machine,Bed 3 Row A,,35.1,40 ft,Farm Stand,
8/6/22,cucumber,,Bed 5 Row E,,61.9,40 ft,Farm Stand,
8/6/22,okra,Crimson,Bed 3 Row E,,14.7,40 ft,Farm Stand,
8/6/22,chard,Rainbow,Bed 3 Row C/ Bed 8 Row B,,11.9,30 ft,Farm Stand,
8/6/22,spinach,Malabar,Bed 2 Row E,,10.8,30 ft,Farm Stand,
8/6/22,carrots,Deep purple,Bed 2 row B,,14.8,20 ft,Farm Stand,
8/6/22,kale,Red russian/ Winterbor,Bed 2 Row D,,6.7,15 ft,Farm Stand,
8/13/22,collard greens,Top Bunch/ Flash,Bed 3 Row B/Bed 5 Row D/ Bed 7 Row E/ Bed 8 Row E,,89.0,120 ft,Farm Stand,
8/13/22,chard,Rainbow,Bed 3 Row C/ Bed 8 Row B,,36.0,60 ft,Farm Stand,
8/13/22,okra,,Bed 3 Row E/ Bed 6 Row E,,12.9,40 ft,Farm Stand,
8/13/22,zucchini,Green Machine,Bed 3 Row A,,31.7,40 ft,Farm Stand,
8/13/22,cucumber,,Bed 5 Row E,,52.6,40 ft,Farm Stand,
8/13/22,spinach,Red Mallobar ,Bed 2 Row E,,10.1,30 ft,Farm Stand,
8/13/22,cabbage,,Bed 7 Row D,,24.9,40 ft,Farm Stand,
8/13/22,kale,,Bed 7 Row A/ Bed 8 Row C,,13.2,30 ft,Farm Stand,
8/13/22,peppers,,Bed 6 Row D,,1.6,15 ft,Farm Stand,
8/13/22,radish,,Bed 1 Row E,,6.5,20 ft,Farm Stand,
8/13/22,carrots,,Bed 2 Row B,,4.4,10 ft,Farm Stand,
8/13/22,bush beans,,Bed 2 Row B/ Bed 5 Row C/ Bed 5 Row C,,6.3,40 ft,Farm Stand,
8/20/22,collard greens,Flash/ Top bunch,Bed 3 Row B/ Bed 8 Row A,,25.7,40 ft,Farm Stand,
8/20/22,cabbage,,Bed 7 Row D,,19.8,30 ft,Farm Stand,
8/20/22,cucumbers,,Bed 5 Row E,,45.0,,Farm Stand,
8/20/22,peppers,,Bed 6 Row D,,1.3,10 ft,Farm Stand,
8/20/22,chard,,Bed 3 Row C/ Bed 8 Row B,,16.7,30 ft,Farm Stand,
8/20/22,kale,,Bed 7 Row A/ Bed 8 Row C,,10.1,30 ft,Farm Stand,
8/20/22,okra,,Bed 3 Row E/ Bed 6 Row E,,20.7,60 ft,Farm Stand,
8/20/22,spinach,,Bed 2 Row E,,7.6,20 ft,Farm Stand,
8/20/22,radish,,Bed 1 Row E,,11.4,30 ft,Farm Stand,
8/20/22,zucchini,,Bed 3 Row A,,14.3,30 ft,Farm Stand,
8/20/22,eggplant,Nadia,Bed 5 Row A,,15.5,40 ft,Farm Stand,
8/27/22,eggplant,Nadia,Bed 5 Row A,,20.2,40 ft,Farm Stand,
8/27/22,cucumber,,Bed 5 Row E,,115.4,40 ft,Farm Stand,
8/27/22,zucchini,,Bed 3 Row A,,29.5,40 ft,Farm Stand,
8/27/22,peppers,,Bed 6 Row D,,6.0,20 ft,Farm Stand,
8/27/22,okra,,Bed 3 Row E/ Bed 6 Row E,,21.1,80 ft,Farm Stand,
8/27/22,spinach,Red Malabar,Bed 2 Row E,,14.7,30 ft,Farm Stand,
8/27/22,tomatoes,Big Beef,Bed 4 Row D,,4.7,10 ft,Farm Stand,
8/27/22,beans,Bush,Bed 5 Row B/ Bed 5 Row C,,5.6,30 ft,Farm Stand,
8/27/22,cantaloupe,,Bed 4 Row E,,13.4,10 ft,Farm Stand,
8/27/22,carrots,,Bed 2 Row B,,0.9,5 ft,Farm Stand,
8/27/22,scallions,,Bed 1 Row D,,0.8,15 ft,Farm Stand,
8/27/22,cabbage,,Bed 7 Row D,,26.9,40 ft,Farm Stand,
8/27/22,pac choi,,Bed 6 Row C,,6.7,15 ft,Farm Stand,
8/27/22,kale,,Bed 2 Row D/ Bed 7 Row A,,14.5,30 ft,Farm Stand,
8/27/22,collard greens,,Bed 3 Row B/ Bed 5 Row D/ Bed 7 Row E/ Bed 8 Row A,,99.0,12 ft,Farm Stand,
8/27/22,chard,Rainbow,Bed 3 Row C/ Bed 8 Row B,,26.0,40 ft,Farm Stand,
8/27/22,radish,Round Rover,Bed 1 Row E,,15.8,30 ft,Farm Stand,
9/3/22,zucchini,Green Machine,Bed 3 Row A,,28.6,40 ft,Farm Stand,
9/3/22,cucumber,,Bed 5 Row E,,82.3,40 ft,Farm Stand,
9/3/22,peppers,,Bed 6 Row D,,7.5,30 ft,Farm Stand,
9/3/22,eggplant,,Bed 5 Row A,,17.9,30 ft,Farm Stand,
9/3/22,okra,,Bed 3 Row E/ Bed 6 Row E,,25.9,80 ft,Farm Stand,
9/3/22,tomatoes,Big Beef,Bed 4 Row D,,5.1,10 ft,Farm Stand,
9/3/22,cantaloupe,,Bed 4 Row E,,12.4,10 ft,Farm Stand,
6/3/22,kale,,Bed 2 Row D/ Bed 7 Row A,,9.9,20 ft,Farm Stand,
9/3/22,chard,Rainbow,Bed 3 Row C/ Bed 8 Row B,,21.6,40 ft,Farm Stand,
9/3/22,collard greens,,Bed 3 Row B/ Bed 8 Row A/ Bed Row E,,54.5,60 ft,Farm Stand,
9/3/22,spinach,Red Malabar,Bed 2 Row E,,31.1,40 ft,Farm Stand,
9/3/22,cabbage,,Bed 7 Row D,,12.3,20 ft,Farm Stand,
9/3/22,beets,,Bed 6 Row A,,6.1,10 ft,Farm Stand,
9/3/22,carrots,,Bed 2 Row B,,28.7,30ft,Farm Stand,
9/3/22,husk cherries,,Bed 7 Row C,,0.1,3 ft,Farm Stand,
9/3/22,pac choi,,Bed 6 Row C,,8.6,10 ft,Farm Stand,
9/10/22,cucumbers,,Bed 5 Row E,,54.2,40 ft,Farm Stand,
9/10/22,okra,green machine,Bed 3 Row A,,18.2,40 ft,Farm Stand,
9/10/22,tomato,,Bed 3 Row E/ Bed 6 Row E,,8.3,80 ft,Farm Stand,
9/10/22,zucchini,,Bed 4 Row D,,10.6,10 ft,Farm Stand,
9/10/22,peppers,Jalopenos,Bed 6 Row D,,3.6,30 ft,Farm Stand,
9/10/22,eggplant,,Bed 5 Row A/ Bed 6 Row A,,30.1,60 ft,Farm Stand,
9/10/22,beans,Bush,Bed 4 Row A & C,,2.4,20 ft,Farm Stand,
9/10/22,carrots,,Bed 2 Row B,,18.0,10 ft,Farm Stand,
9/10/22,collard greens,,Bed 3 Row B/ Bed 8 Row A/ Bed Row E,,34.3,60 ft,Farm Stand,
9/10/22,turnips,,Bed 1 Row C,,5.2,10ft,Farm Stand,
9/10/22,spinach,,Bed 2 Row E,,15.4,10 ft,Farm Stand,
9/10/22,swiss chard,Rainbow,Bed 3 Row C/ Bed 8 Row B,,10.7,40 ft,Farm Stand,
9/10/22,kale,,Bed 2 Row D/ Bed 7 Row A,,6.9,30 ft,Farm Stand,
9/10/22,beets,,Bed 6 Row A,,8.4,10ft,Farm Stand,
9/10/22,cantaloupe,,Bed 4 Row E,,8.3,10 ft,Farm Stand,
9/17/22,string beans,,Bed 4 Row A & C,,22.3,20 ft,Farm Stand,
9/17/22,tomatoes,,Bed 4 Row D,,10.4,10 ft,Farm Stand,
9/17/22,eggplant,,Bed 5 Row A/ Bed 6 Row A,,27.2,60 ft,Farm Stand,
9/17/22,okra,,Bed 3 Row E/ Bed 6 Row E,,10.9,80 ft,Farm Stand,
9/17/22,cucumber,,Bed 5 Row E,,43.2,40 ft,Farm Stand,
9/17/22,peppers,,Bed 6 Row D,,6.3,30 ft,Farm Stand,
9/17/22,beets,,Bed 6 Row A,,0.8,40ft,Farm Stand,
9/17/22,cantaloupe,,Bed 4 Row E,,15.9,10 ft,Farm Stand,
9/17/22,husk cherries,,Bed 7 Row B,,0.8,10 ft ,Farm Stand,
9/17/22,kale,,Bed 2 Row D/ Bed 7 Row A,,1.2,10 ft,Farm Stand,
9/17/22,string beans,,Bed 4 Row A & C,,9.0,40ft,Farm Stand,
9/17/22,turnips,,Bed 1 Row C & D,,3.4,30 ft,Farm Stand,
9/17/22,cabbage,,Bed 7 Row C,,17.1,10 ft,Farm Stand,
9/17/22,collard greens,,Bed 3 Row B/ Bed 8 Row A/ Bed Row E,,27.5,40 ft,Farm Stand,
9/17/22,spinach,,Bed 2 Row E,,20.0,40 ft,Farm Stand,
9/17/22,chard,,Bed 3 Row C/ Bed 8 Row B,,9.7,40 ft,Farm Stand,
9/24/22,eggplant,,Bed 5 Row A/ Bed 6 Row B,,26.7,40 ft,Farm Stand,
9/24/22,string beans,,Bed.4 Row A & C,,42.6,40 ft,Farm Stand,
9/24/22,cucumbers,,Bed 3 Row A,,22.1,40 ft,Farm Stand,
9/24/22,tomatoes,,Bed 4 Row D,,4.2,40 ft,Farm Stand,
9/24/22,okra,,Bed 3 Row E,,33.1,40 ft,Farm Stand,
9/24/22,beets,,Bed 6 Row A,,26.8,40 ft,Farm Stand,
9/24/22,spinach,,Bed 2 Row E,,7.6,10ft,Farm Stand,
9/24/22,collard greens,,Bed 3 Row C/ Bed 8 Row B,,6.0,40 ft,Farm Stand,
9/24/22,kale,Winterbor,Bed 2 Row D/ Bed 7 Row A,,0.6,40 ft,Farm Stand,
9/24/22,husk cherries,,Bed 7 Row D,,0.2,40 ft,Farm Stand,
9/24/22,chard,Rainbow,Bed 3 Row C/ Bed 8 Row B,,22.5,40 ft,Farm Stand,
9/24/22,peppers,Jalapeno,Bed 6 Row D,,11.4,40 ft,Farm Stand,
9/24/22,cantaloupe,,Bed 4 Row E,,5.0,40 ft,Farm Stand,
9/24/22,pac choi,,Bed 6 Row C,,10.5,40 ft,Farm Stand,
9/30/22,eggplant,Nadia,Bed 5 Row A/ Bed 6 Row B,,50.1,40ft,Farm Stand,
9/30/22,string beans,,Bed 4 Row A & C,,18.5,40ft,Farm Stand,
9/30/22,husk cherries,,Bed 7 Row D,,2.3,40ft,Farm Stand,
9/30/22,okra,,Bed 3 Row E/ Bed 6 Row E,,4.4,40ft,Farm Stand,
9/30/22,peppers,,Bed 6 Row D,,6.0,40ft,Farm Stand,
10/8/22,okra,,Bed 3 Row E/ Bed 6 Row E,,9.2,40ft,Farm Stand,
10/8/22,peppers,,Bed 6 Row D,,2.9,40ft,Farm Stand,
10/8/22,string beans,,Bed 4 Row A & C,,8.6,40ft,Farm Stand,
10/8/22,husk cherries,,Bed 7 Row D,,4.5,40ft,Farm Stand,
10/8/22,tomatoes,,Bed 4 Row D,,4.2,40ft,Farm Stand,
10/8/22,eggplant,Nadia,Bed 5 Row A/ Bed 6 Row B,,12.7,40ft,Farm Stand,
10/8/22,kale,Red Russian,Bed 2 Row D,,4.4,40ft,Farm Stand,
10/8/22,collard greens,,Bed 3 Row C/ Bed 8 Row B,,40.8,40ft,Farm Stand,
10/8/22,turnips,Hakurai,Bed 1 Row C & D,,8.5,30ft,Farm Stand,
10/8/22,mustard greens,,Bed 1 Row C/ Bed 2 Row C,,1.0,30/40ft,Farm Stand,
10/8/22,spinach,Red Malabar,Bed 2 Row E,,6.5,40ft,Farm Stand,
10/8/22,swiss chard,,Bed 3 Row C/ Bed 8 Row B,,9.7,40ft,Farm Stand,
10/8/22,pac choi,,Bed 6 Row C,,7.7,40ft,Farm Stand,
10/8/22,cabbage,,Bed 7 Row C,,22.7,40ft,Farm Stand,
10/15/22,spinach,Red Malabar,"Bed 2, Row E",,12.3,40ft,Farm Stand,
10/15/22,chard,Swiss,Bed 3 Row C/ Bed 8 Row B,,22.4,40ft,Farm Stand,
10/15/22,string beans,,Bed 4 Row A & C,,3.4,40ft,Farm Stand,
10/15/22,eggplant,Nadia,Bed 5 Row A/ Bed 6 Row B,,15.5,40ft,Farm Stand,
10/15/22,tomatoes,,Bed 4 Row D,,4.0,40ft,Farm Stand,
10/15/22,okra,,Bed 3 Row E/ Bed 6 Row E,,3.2,40ft,Farm Stand,
10/15/22,peppers,,Bed 6 Row D,,2.0,40ft,Farm Stand,
10/15/22,husk cherries,,Bed 7 Row D,,3.2,40ft,Farm Stand,
10/15/22,collard greens,,Bed 3 Row C/ Bed 8 Row D,,13.8,40ft,Farm Stand,
10/15/22,cabbage,,Bed 7 Row C,,7.8,40ft,Farm Stand,
10/15/22,pac choi,,Bed 6 Row C,,4.8,40ft,Farm Stand,
10/15/22,beets,,Bed 6 Row A,,1.0,40ft,Farm Stand,
10/15/22,mustard greens,,Bed 1 Row C/ Bed 2 Row C,,2.3,30/40ft,Farm Stand,
10/15/22,kale,Red Russian,Bed 2 Row D,,12.8,40ft,Farm Stand,
10/15/22,turnips,Hakurai,Bed 1 Row E,,1.8,30ft,Farm Stand,
10/22/22,cantaloupe,,Bed 4 Row E,,12.5,40ft,Farm Stand,
10/22/22,eggplant,Nadia,Bed 5 Row A/ Bed 6 Row B,,21.7,40ft,Farm Stand,
10/22/22,string beans,,Bed 4 Row A & C,,1.2,40ft,Farm Stand,
10/22/22,radish,,Bed 1 Row B,,5.3,40ft,Farm Stand,
10/22/22,swiss chard,,Bed 3 Row C/ Bed 8 Row B,,7.4,40ft,Farm Stand,
10/22/22,leeks,,Bed 3 Row D,,14.6,40ft,Farm Stand,
10/22/22,spinach,Red Malabar,Bed 2 Row E,,28.01,40ft,Farm Stand,
10/22/22,cabbage,,Bed 7 Row C,,5.4,40ft,Farm Stand,
10/22/22,collard greens,,Bed 3 Row C/ Bed 8 Row B,,16.0,40ft,Farm Stand,
10/22/22,peppers,"Jalepnos, ghost, scotch bonnet","Bed 6, Row D",,2.0,40ft,Farm Stand,
10/22/22,tomato,,Bed 4 Row D,,8.1,40ft,Farm Stand,
10/22/22,husk cherries,,Bed 7 Row C,,0.6,40ft,Farm Stand,
10/29/22,eggplants,Nadia,"Bed 5, Row A/ Bed 6, Row B",,22.5,40ft,Farm Stand,
10/29/22,peppers,Scotch Bonnet/ Jalapeño/ Ghost ,"Bed 6, Row D",,2.2,40ft,Farm Stand,
10/29/22,okra,,"Bed 3, Row E/ Bed 6, Row E",,0.2,40ft,Farm Stand,
10/29/22,beans,Bush,"Bed 4, Row A/ Bed 4, Row C",,2.2,40ft,Farm Stand,
10/29/22,tomatoes,,"Bed 4, Row D",,5.2,40ft,Farm Stand,
10/29/22,collard greens,,"Bed 3,Row C/ Bed 8, Row E",,15.0,40ft,Farm Stand,
10/29/22,chard,Rainbow,"Bed 3, Row C/ Bed 8, Row B",,6.0,40ft,Farm Stand,
10/29/22,mustard greens,,"Bed 1, Row C",,7.3,30ft,Farm Stand,
10/29/22,radishes,,"Bed 1, Row B",,4.1,30ft,Farm Stand,
10/29/22,cabbage,,"Bed 7, Row C",,9.3,40ft,Farm Stand,
10/29/22,spinach,Red Malabar,"Bed 2, Row E",,5.6,40ft,Farm Stand,
10/29/22,beets,Golden,"Bed 6, Row B",,0.9,40ft,Farm Stand,
10/29/22,kale,Red Russian,"Bed 2, Row D",,5.3,40ft,Farm Stand,
10/29/22,pac choi,,"Bed 6, Row C",,10.8,40ft,Farm Stand,
10/29/22,carrots,,"Bed 2, Row B",,3.0,40ft,Farm Stand,
10/29/22,turnips,,"Bed 1, Row E",,1.9,30ft,Farm Stand,
11/3/22,eggplant,,"Bed 6, Row B, Bed 5 Row A",,26.0,80ft,Farm Stand,
11/3/22,tomato,,"Bed 4, Row D",,3.5,40ft,Farm Stand,
11/3/22,peppers,Jalapeno / ghost,"Bed 6, Row D",,3.4,40ft,Farm Stand,
11/5/22,collards,,"Bed 3, Row B, Bed 5, Row D, Bed 7, Row E, Bed 8, Row A",,10.8,160ft,Farm Stand,
11/5/22,kale,,"Bed 2, Row D",,2.5,40ft,Farm Stand,
11/5/22,spinach,,"Row 2, Bed E",,6.9,40ft,Farm Stand,
11/5/22,pak choi,,"Bed 6, Row C",,9.8,40ft,Farm Stand,
11/5/22,radishes,,"Bed 3, Row 6",,14.7,40ft,Farm Stand,
11/5/22,turnips,,"Bed 1, Row E",,6.8,40ft,Farm Stand,
11/5/22,beets,Golden,"Bed 6, Row E",,1.4,40ft,Farm Stand,
11/5/22,swiss chard,Rainbow,"Bed 3, Row C, Bed 7, Row B Bed 8, Row B",,3.3,120ft,Farm Stand,
11/5/22,leeks,,"Bed 3, Row D",,5.5,40ft,Farm Stand,
11/5/22,cabbage,,"Bed 7, Row D",,4.3,40ft,Farm Stand,
11/5/22,beets,Red Ace,,,5.1,80ft,,
11/12/22,peppers,,Bed 6,82,5.0,,Farm Stand,
11/12/22,chard,,Bed 5,8,7.11,,Farm Stand,
11/12/22,collards,,Bed 5,,,,Farm Stand,
11/12/22,eggplants,,Bed 6,66,44.0,,Farm Stand,
11/12/22,mustard greens,,,,,,Farm Stand,
11/12/22,radishes,,,42,9.0,,Farm Stand,
11/12/22,beets,,Bed 5,13,2.8,,Farm Stand,
11/12/22,turnips,,Bed 1,,12.6,,Farm Stand,
11/12/22,pac choi,,Bed 6,9,9.3,,Farm Stand,
11/19/22,kale,,Bed 2,,6.4,40,Community Fridge,
11/19/22,collards,,Bed 3,,7.2,40,Community Fridge,
11/23/22,collards,,Bed 5,,4.6,40,Community Fridge,
11/26/22,pac choi,,Bed 8,,26.1,40,Community Fridge,
11/26/22,leeks,,Bed 3,,17.9,40,Community Fridge,
11/26/22,radishes,,Bed 8,,11.7,40,Community Fridge,
11/26/22,collards,,Bed 3,,7.7,40,Community Fridge,
11/26/22,chard,,Bed 3,,7.9,40,Community Fridge,
11/26/22,onions,Yellow Patterson,"Bed 8, Row D",,2.0,40,Community Fridge,
1/11/23,carrots,,"Bed 2, Row A",,16.6,40,Community Fridge,
